,Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
1618,DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,133084,CTS
1619,DMA,Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1046,CTS
1620,DNK,Denmark,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1968,CTS
1621,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,2564,CTS/NGO
1622,DZA,Algeria,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,7424,CTS
1623,ECU,Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,6878,CTS
1624,ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,20057,CTS
1625,EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,78,CTS
1626,FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1584,CTS
1627,FRA,France,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,322731,CTS
1628,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,549645,CTS
1629,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,952,CTS
1630,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,3846,CTS
1631,GEO,Georgia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,192,CTS
1632,GHA,Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,61561,CTS
1633,GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1605,CTS
1634,GRD,Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,343,CTS
1635,GTM,Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,22386,CTS
1636,GUY,Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1365,CTS
1637,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,5656,CTS
1638,HND,Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,2389,CTS
1639,HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,736,CTS
1640,IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,5046,CTS
1641,IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,10,CTS
1642,ISL,Iceland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,97,CTS
1643,ISR,Israel,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,6916,CTS
1644,ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,65896,CTS
1645,JAM,Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,3409,CTS
1646,JOR,Jordan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,731,CTS
1647,KEN,Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,19009,CTS
1648,KGZ,Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,37,CTS
1649,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,141,CTS
1650,KOR,Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,36858,CTS
1651,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1617,CTS
1652,LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,76,CTS
1653,LKA,Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,2751,CTS
1654,LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,152,CTS
1655,LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,637,CTS
1656,LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,639,CTS
1657,MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4,CTS
1658,MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,199,CTS
1659,MEX,Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,90464,CTS
1660,MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,161,CTS
1661,MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,200,CTS
1662,MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,115,CTS
1663,MNG,Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,238,CTS
1664,MYS,Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4712,CTS
1665,NAM,Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,10636,CTS
1666,NIC,Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,982,CTS
1667,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4840,CTS
1668,NOR,Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,2129,CTS
1669,NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,35519,CTS
1670,OMN,Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,47,CTS
1671,PAK,Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,25355,CTS
1672,PAN,Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4330,CTS
1673,PER,Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,4745,CTS
1674,PHL,Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1200,CTS
1675,POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,6412,CTS
1676,PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,661,CTS
1677,PRY,Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,670,CTS
1678,PSE,State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,873,CTS
1679,ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,283,CTS
1680,RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,20478,CTS
1681,SAU,Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,18880,CTS
1682,SGP,Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,373,CTS
1683,SLV,El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,5933,CTS
1684,SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,6216,CTS
1685,SUR,Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,596,CTS
1686,SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1527,CTS
1687,SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,144,CTS
1688,SWE,Sweden,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,5324,CTS
1689,THA,Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,10113,CTS
1690,UKR,Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,1916,CTS/DMDB
1691,URY,Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,605,CTS
1692,USA,United States of America,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,822017,CTS
1693,UZB,Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,952,CTS
1694,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,572,CTS/NGO
1695,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,275,CTS
1696,ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,152,CTS
1697,ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,197,CTS
1698,ARG,Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,134376,CTS
1699,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,0,CTS
1700,AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,71745,CTS
1701,AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,3549,CTS
1702,AZE,Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,321,CTS
1703,BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,55494,CTS
1704,BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,2657,CTS
1705,BHS,Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,2643,CTS
1706,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,640,CTS
1707,BLZ,Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1084,CTS/MoI
1708,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5699,CTS
1709,BRA,Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,462139,CTS/DATASUS
1710,BRB,Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,828,CTS
1711,BTN,Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,828,CTS
1712,CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,69379,CTS
1713,CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,670,CTS
1714,CHL,Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,11738,CTS
1715,CMR,Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5022,CTS/NSO
1716,COL,Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,91187,CTS
1717,CRI,Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,9047,CTS
1718,CYP,Cyprus,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,136,CTS
1719,CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,3892,CTS
1720,DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,130453,CTS
1721,DMA,Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,753,CTS
1722,DNK,Denmark,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1871,CTS
1723,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,2544,CTS/NGO
1724,DZA,Algeria,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,8042,CTS
1725,ECU,Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5858,CTS
1726,ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,16002,CTS
1727,EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,77,CTS
1728,FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1754,CTS
1729,FRA,France,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,317150,CTS
1730,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,540699,CTS
1731,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,767,CTS
1732,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,3231,CTS
1733,GHA,Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,54147,CTS
1734,GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1285,CTS
1735,GRD,Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1920,CTS
1736,GTM,Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,20427,CTS
1737,GUY,Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1889,CTS
1738,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,4780,CTS
1739,HND,Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1942,CTS
1740,HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,743,CTS
1741,IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,4263,CTS
1742,IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,6,CTS
1743,ISL,Iceland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,132,CTS
1744,ISR,Israel,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,7401,CTS
1745,ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,54545,CTS
1746,JAM,Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,3302,CTS
1747,JOR,Jordan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,658,CTS
1748,JPN,Japan,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,18963,CTS/MoI
1749,KEN,Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,19288,CTS
1750,KGZ,Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,32,CTS
1751,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,131,CTS
1752,KOR,Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,32904,CTS
1753,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1025,CTS
1754,LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,86,CTS
1755,LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,150,CTS
1756,LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,486,CTS
1757,LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,596,CTS
1758,MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,2,CTS
1759,MAR,Morocco,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,114652,CTS
1760,MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,163,CTS
1761,MEX,Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,68026,CTS
1762,MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,145,CTS
1763,MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,183,CTS
1764,MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,129,CTS
1765,MNG,Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,310,CTS
1766,MUS,Mauritius,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,261,CTS
1767,MYS,Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,4118,CTS
1768,NAM,Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,9175,CTS
1769,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5220,CTS
1770,NOR,Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1786,CTS
1771,NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,42678,CTS
1772,OMN,Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,27,CTS
1773,PAK,Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,28301,CTS
1774,PAN,Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,3500,CTS
1775,PER,Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,2453,CTS
1776,POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5377,CTS
1777,PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,576,CTS
1778,PRY,Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,492,CTS
1779,PSE,State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,918,CTS
1780,ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,229,CTS
1781,RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,18989,CTS
1782,SGP,Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,444,CTS
1783,SLV,El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,4996,CTS
1784,SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5797,CTS
1785,SUR,Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1501,CTS
1786,SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1270,CTS
1787,SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,128,CTS
1788,SWE,Sweden,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,5290,CTS
1789,THA,Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,6552,CTS
1790,UKR,Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1680,CTS/DMDB
1791,URY,Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,675,CTS
1792,USA,United States of America,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,921505,CTS
1793,UZB,Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,1076,CTS
1794,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,553,CTS/NGO
1795,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,274,CTS
1796,ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,163,CTS
1797,ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,145,CTS
1798,ARG,Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,154197,CTS
1799,AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,74916,CTS
1800,AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,3610,CTS
1801,AZE,Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,329,CTS
1802,BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,58112,CTS
1803,BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,2758,CTS
1804,BHS,Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,3151,CTS
1805,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,755,CTS
1806,BLZ,Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,1005,CTS/MoI
