,Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
14692,DMA,Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","1464,411715",CTS
14693,DNK,Denmark,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","33,95516607",CTS
14694,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","23,56209858",CTS/NGO
14695,DZA,Algeria,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","17,38423101",CTS
14696,ECU,Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","39,65695752",CTS
14697,ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","42,55551907",CTS
14698,EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","5,877747376",CTS
14699,FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","28,68766432",CTS
14700,FRA,France,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","501,1369685",CTS
14701,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","924,7080746",CTS
14702,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","50,27283044",CTS
14703,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","70,39701279",CTS
14704,GEO,Georgia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","5,091742864",CTS
14705,GHA,Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","195,2935526",CTS
14706,GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","15,17870586",CTS
14707,GRD,Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","279,4900732",CTS
14708,GTM,Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","130,8637769",CTS
14709,GUY,Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","170,8913769",CTS
14710,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","75,45234723",CTS
14711,HND,Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","23,98876414",CTS
14712,HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","17,82189342",CTS
14713,IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","103,0633255",CTS
14714,IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","0,029692512",CTS
14715,ISL,Iceland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","26,88660091",CTS
14716,ISR,Israel,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","80,34461287",CTS
14717,ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","110,3269405",CTS
14718,JAM,Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","121,1540519",CTS
14719,JOR,Jordan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","6,832616049",CTS
14720,KEN,Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","37,30806483",CTS
14721,KGZ,Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","0,585105769",CTS
14722,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","295,5262358",CTS
14723,KOR,Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","71,14917951",CTS
14724,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","905,458791",CTS
14725,LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","197,4949327",CTS
14726,LKA,Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","12,70689467",CTS
14727,LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","5,335049909",CTS
14728,LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","102,7464099",CTS
14729,LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","33,34105552",CTS
14730,MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","0,602725071",CTS
14731,MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","6,399761247",CTS
14732,MEX,Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","72,32184121",CTS
14733,MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","7,615260035",CTS
14734,MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","39,71133828",CTS
14735,MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","18,24250154",CTS
14736,MNG,Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","7,362881795",CTS
14737,MYS,Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","14,36409318",CTS
14738,NAM,Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","434,7177461",CTS
14739,NIC,Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","14,73606242",CTS
14740,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","27,87494654",CTS
14741,NOR,Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","39,80719779",CTS
14742,NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","716,2483661",CTS
14743,OMN,Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","1,02112468",CTS
14744,PAK,Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","11,35502152",CTS
14745,PAN,Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","102,3028296",CTS
14746,PER,Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","14,45550676",CTS
14747,PHL,Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","1,087145541",CTS
14748,POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","16,65731403",CTS
14749,PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","6,423760411",CTS
14750,PRY,Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","10,26029448",CTS
14751,PSE,State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","17,78085554",CTS
14752,ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","1,449482389",CTS
14753,RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","14,05082932",CTS
14754,SAU,Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","52,69715364",CTS
14755,SGP,Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","6,358238137",CTS
14756,SLV,El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","94,47125792",CTS
14757,SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","83,98801468",CTS
14758,SUR,Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","99,28360879",CTS
14759,SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","27,99818993",CTS
14760,SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","6,815271129",CTS
14761,SWE,Sweden,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","51,85080292",CTS
14762,THA,Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","14,18218659",CTS
14763,UKR,Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","4,333753778",CTS/DMDB
14764,URY,Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","17,64666934",CTS
14765,USA,United States of America,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","245,8775451",CTS
14766,UZB,Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","2,886865091",CTS
14767,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","545,1590921",CTS/NGO
14768,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,"Rate per 100,000 population","16,30248883",CTS
14769,ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","5,30198835",CTS
14770,ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","2,121178742",CTS
14771,ARG,Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","298,3744216",CTS
14772,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population",0,CTS
14773,AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","279,4891214",CTS
14774,AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","39,84159011",CTS
14775,AZE,Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","3,121064942",CTS
14776,BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","479,9806119",CTS
14777,BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","38,0704023",CTS
14778,BHS,Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","650,2300899",CTS
14779,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","19,28635659",CTS
14780,BLZ,Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","274,4856243",CTS/MoI
14781,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","47,74566565",CTS
14782,BRA,Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","216,766891",CTS/DATASUS
14783,BRB,Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","294,9841998",CTS
14784,BTN,Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","107,1836335",CTS
14785,CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","183,1126189",CTS
14786,CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","7,755874699",CTS
14787,CHL,Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","60,81766023",CTS
14788,CMR,Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","18,95731949",CTS/NSO
14789,COL,Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","179,0414549",CTS
14790,CRI,Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","176,5921253",CTS
14791,CYP,Cyprus,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","10,98957041",CTS
14792,CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","36,95771532",CTS
14793,DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","156,5517632",CTS
14794,DMA,Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","1045,913229",CTS
14795,DNK,Denmark,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","32,11663747",CTS
14796,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","23,12797918",CTS/NGO
14797,DZA,Algeria,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","18,50792096",CTS
14798,ECU,Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","33,30567147",CTS
14799,ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","33,78529095",CTS
14800,EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","5,791894958",CTS
14801,FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","31,72095399",CTS
14802,FRA,France,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","491,8575362",CTS
14803,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","905,3943384",CTS
14804,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","40,46404398",CTS
14805,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","59,11086718",CTS
14806,GHA,Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","168,2607943",CTS
14807,GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","12,22385503",CTS
14808,GRD,Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","1552,606681",CTS
14809,GTM,Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","117,648624",CTS
14810,GUY,Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","236,9537457",CTS
14811,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","63,7251935",CTS
14812,HND,Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","19,18638087",CTS
14813,HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","18,13579635",CTS
14814,IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","86,18878761",CTS
14815,IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","0,017361889",CTS
14816,ISL,Iceland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","35,99977091",CTS
14817,ISR,Israel,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","84,51051614",CTS
14818,ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","91,67137684",CTS
14819,JAM,Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","117,0740978",CTS
14820,JOR,Jordan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","6,02083263",CTS
14821,JPN,Japan,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","15,14075307",CTS/MoI
14822,KEN,Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","37,10245379",CTS
14823,KGZ,Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","0,498064242",CTS
14824,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","274,9645799",CTS
14825,KOR,Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","63,46647914",CTS
14826,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","571,8701269",CTS
14827,LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","221,901125",CTS
14828,LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","5,318645362",CTS
14829,LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","77,09396978",CTS
14830,LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","31,41716727",CTS
14831,MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","0,295734182",CTS
14832,MAR,Morocco,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","312,4988757",CTS
14833,MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","5,283892524",CTS
14834,MEX,Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","53,98961646",CTS
14835,MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","6,868548302",CTS
14836,MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","35,50929645",CTS
14837,MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","20,5071954",CTS
14838,MNG,Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","9,410093388",CTS
14839,MUS,Mauritius,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","20,11052312",CTS
14840,MYS,Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","12,40361707",CTS
14841,NAM,Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","368,6074233",CTS
14842,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","29,94053534",CTS
14843,NOR,Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","33,19801949",CTS
14844,NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","843,2497539",CTS
14845,OMN,Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","0,59426874",CTS
14846,PAK,Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,Total,2020,"Rate per 100,000 population","12,45660474",CTS
