country,region,subregion,indicator,dimension,category,sex,year,unit_of_measurement,value,source,porcentaje
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",23.61306136,CTS/NSO,0.0236
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",327.0461851,CTS,0.327
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",147.0735163,CTS,0.1471
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",14.32248541,CTS,0.0143
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",44.45342455,CTS,0.0445
Germany,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",160.0564948,CTS,0.1601
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",1464.411715,CTS,1.4644
Denmark,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",33.95516607,CTS,0.034
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",23.56209858,CTS/NGO,0.0236
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",17.38423101,CTS,0.0174
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",39.65695752,CTS,0.0397
Spain,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",42.55551907,CTS,0.0426
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",5.877747376,CTS,0.0059
Finland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",28.68766432,CTS,0.0287
France,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",501.1369685,CTS,0.5011
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",924.7080746,CTS,0.9247
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",50.27283044,CTS,0.0503
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",70.39701279,CTS,0.0704
Georgia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",5.091742864,CTS,0.0051
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",195.2935526,CTS,0.1953
Greece,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",15.17870586,CTS,0.0152
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",279.4900732,CTS,0.2795
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",130.8637769,CTS,0.1309
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",170.8913769,CTS,0.1709
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",75.45234723,CTS,0.0755
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",23.98876414,CTS,0.024
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",17.82189342,CTS,0.0178
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",103.0633255,CTS,0.1031
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",0.029692512,CTS,0.0
Iceland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",26.88660091,CTS,0.0269
Israel,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",80.34461287,CTS,0.0803
Italy,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",110.3269405,CTS,0.1103
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",121.1540519,CTS,0.1212
Jordan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",6.832616049,CTS,0.0068
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",37.30806483,CTS,0.0373
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",0.585105769,CTS,0.0006
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",295.5262358,CTS,0.2955
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",71.14917951,CTS,0.0711
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",905.458791,CTS,0.9055
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",197.4949327,CTS,0.1975
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",12.70689467,CTS,0.0127
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",5.335049909,CTS,0.0053
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",102.7464099,CTS,0.1027
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",33.34105552,CTS,0.0333
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",0.602725071,CTS,0.0006
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",6.399761247,CTS,0.0064
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",72.32184121,CTS,0.0723
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",7.615260035,CTS,0.0076
Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",39.71133828,CTS,0.0397
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",18.24250154,CTS,0.0182
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",7.362881795,CTS,0.0074
Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",14.36409318,CTS,0.0144
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",434.7177461,CTS,0.4347
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",14.73606242,CTS,0.0147
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",27.87494654,CTS,0.0279
Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",39.80719779,CTS,0.0398
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",716.2483661,CTS,0.7162
Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",1.02112468,CTS,0.001
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",11.35502152,CTS,0.0114
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",102.3028296,CTS,0.1023
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",14.45550676,CTS,0.0145
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",1.087145541,CTS,0.0011
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",16.65731403,CTS,0.0167
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",6.423760411,CTS,0.0064
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",10.26029448,CTS,0.0103
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",17.78085554,CTS,0.0178
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",1.449482389,CTS,0.0014
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",14.05082932,CTS,0.0141
Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",52.69715364,CTS,0.0527
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",6.358238137,CTS,0.0064
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",94.47125792,CTS,0.0945
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",83.98801468,CTS,0.084
Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",99.28360879,CTS,0.0993
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",27.99818993,CTS,0.028
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",6.815271129,CTS,0.0068
Sweden,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",51.85080292,CTS,0.0519
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",14.18218659,CTS,0.0142
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",4.333753778,CTS/DMDB,0.0043
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",17.64666934,CTS,0.0176
United States of America,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",245.8775451,CTS,0.2459
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",2.886865091,CTS,0.0029
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",545.1590921,CTS/NGO,0.5452
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2019,"Rate per 100,000 population",16.30248883,CTS,0.0163
Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",5.30198835,CTS,0.0053
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",2.121178742,CTS,0.0021
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",298.3744216,CTS,0.2984
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",,CTS,
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",279.4891214,CTS,0.2795
Austria,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",39.84159011,CTS,0.0398
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",3.121064942,CTS,0.0031
Belgium,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",479.9806119,CTS,0.48
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",38.0704023,CTS,0.0381
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",650.2300899,CTS,0.6502
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",19.28635659,CTS,0.0193
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",274.4856243,CTS/MoI,0.2745
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",47.74566565,CTS,0.0477
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",216.766891,CTS/DATASUS,0.2168
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",294.9841998,CTS,0.295
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",107.1836335,CTS,0.1072
Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",183.1126189,CTS,0.1831
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",7.755874699,CTS,0.0078
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",60.81766023,CTS,0.0608
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",18.95731949,CTS/NSO,0.019
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",179.0414549,CTS,0.179
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",176.5921253,CTS,0.1766
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",10.98957041,CTS,0.011
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",36.95771532,CTS,0.037
Germany,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",156.5517632,CTS,0.1566
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",1045.913229,CTS,1.0459
Denmark,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",32.11663747,CTS,0.0321
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",23.12797918,CTS/NGO,0.0231
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",18.50792096,CTS,0.0185
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",33.30567147,CTS,0.0333
Spain,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",33.78529095,CTS,0.0338
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",5.791894958,CTS,0.0058
Finland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",31.72095399,CTS,0.0317
France,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",491.8575362,CTS,0.4919
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",905.3943384,CTS,0.9054
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",40.46404398,CTS,0.0405
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",59.11086718,CTS,0.0591
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",168.2607943,CTS,0.1683
Greece,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",12.22385503,CTS,0.0122
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",1552.606681,CTS,1.5526
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",117.648624,CTS,0.1176
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",236.9537457,CTS,0.237
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",63.7251935,CTS,0.0637
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",19.18638087,CTS,0.0192
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",18.13579635,CTS,0.0181
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",86.18878761,CTS,0.0862
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",0.017361889,CTS,0.0
Iceland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",35.99977091,CTS,0.036
Israel,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",84.51051614,CTS,0.0845
Italy,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",91.67137684,CTS,0.0917
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",117.0740978,CTS,0.1171
Jordan,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",6.02083263,CTS,0.006
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",15.14075307,CTS/MoI,0.0151
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",37.10245379,CTS,0.0371
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",0.498064242,CTS,0.0005
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",274.9645799,CTS,0.275
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",63.46647914,CTS,0.0635
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",571.8701269,CTS,0.5719
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",221.901125,CTS,0.2219
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",5.318645362,CTS,0.0053
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",77.09396978,CTS,0.0771
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",31.41716727,CTS,0.0314
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",0.295734182,CTS,0.0003
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",312.4988757,CTS,0.3125
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",5.283892524,CTS,0.0053
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",53.98961646,CTS,0.054
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",6.868548302,CTS,0.0069
Malta,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",35.50929645,CTS,0.0355
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",20.5071954,CTS,0.0205
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",9.410093388,CTS,0.0094
Mauritius,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",20.11052312,CTS,0.0201
Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",12.40361707,CTS,0.0124
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",368.6074233,CTS,0.3686
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",29.94053534,CTS,0.0299
Norway,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",33.19801949,CTS,0.0332
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",843.2497539,CTS,0.8432
Oman,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",0.59426874,CTS,0.0006
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",12.45660474,CTS,0.0125
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",81.50154725,CTS,0.0815
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",7.365314431,CTS,0.0074
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",13.99226774,CTS,0.014
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",5.593214809,CTS,0.0056
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",7.433489532,CTS,0.0074
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",18.28903124,CTS,0.0183
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",1.177859997,CTS,0.0012
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",13.04034357,CTS,0.013
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",7.512855613,CTS,0.0075
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",79.39319192,CTS,0.0794
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",78.78494239,CTS,0.0788
Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",247.2552363,CTS,0.2473
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",23.27422109,CTS,0.0233
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",6.044461738,CTS,0.006
Sweden,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,2020,"Rate per 100,000 population",51.01760348,CTS,0.051
